incident_id,shipment_id,tracking_number,carrier,origin,destination,incident_type,severity_level,incident_status,incident_date,delay_hours,weather_condition,traffic_level,route_risk_score,estimated_financial_loss_cad,resolution_action,resolution_time_hours,warehouse_id,driver_id
INC009727,SHP052383,TRK8752293577,Purolator,Ottawa,Toronto,Mechanical Failure,Medium,Resolved,2026-02-13 06:00:00,2,Clear,Medium,8.8,2482.35,Shipment Reprocessed,58,WH-CGY-004,DRV00185
INC007174,SHP078397,TRK4118034344,Canada Post,Vancouver,Kelowna,Weather Delay,Low,Open,2026-04-10 13:00:00,72,Rain,Severe,61.25,855.18,Shipment Reprocessed,40,WH-VAN-005,DRV01916
INC016379,SHP087135,TRK2166029783,Canada Post,Vancouver,Kelowna,Weather Delay,Low,Under Investigation,2026-04-06 17:00:00,12,Rain,Medium,24.55,183.11,Shipment Reprocessed,84,WH-CGY-004,DRV02000
INC022282,SHP076054,TRK5407867780,FedEx,Vancouver,Kelowna,Failed Delivery Attempt,Low,Open,2026-01-27 00:00:00,4,Snow,Medium,29.1,1614.92,Shipment Reprocessed,71,WH-OTT-006,DRV01866
INC014936,SHP046895,TRK5427469685,UPS,Halifax,Moncton,Weather Delay,Low,Escalated,2026-05-07 07:00:00,8,Clear,High,19.45,2043.2,Customer Notified,81,WH-OTT-006,DRV02068
INC004831,SHP018645,TRK6460465927,DHL,Halifax,Moncton,Failed Delivery Attempt,High,Resolved,2026-06-10 18:00:00,0,Storm,High,43.25,840.07,Carrier Investigation,15,WH-HFX-003,DRV02055
INC019709,SHP023650,TRK9612995103,FedEx,Toronto,Montreal,Mechanical Failure,High,Resolved,2026-07-01 18:00:00,8,Clear,Low,7.45,586.57,Customer Notified,7,WH-VAN-005,DRV02226
INC009287,SHP035046,TRK3296260909,FedEx,Halifax,Moncton,Customs Hold,Medium,Escalated,2026-06-14 20:00:00,2,Clear,Medium,8.8,665.39,Route Reassigned,55,WH-CGY-004,DRV01587
INC004780,SHP087406,TRK5626553087,DHL,Halifax,Moncton,Mechanical Failure,Medium,Under Investigation,2026-02-03 04:00:00,2,Clear,Low,4.3,144.85,Refund Issued,26,WH-VAN-005,DRV00345
INC024480,SHP058657,TRK5610412243,DHL,Calgary,Edmonton,Weather Delay,Medium,Under Investigation,2026-03-07 14:00:00,2,Clear,Medium,8.8,1947.89,Customer Notified,86,WH-HFX-003,DRV01566
INC021803,SHP015266,TRK2293485009,FedEx,Calgary,Edmonton,Traffic Disruption,Medium,Under Investigation,2026-01-10 08:00:00,8,Clear,Low,7.45,1268.13,Carrier Investigation,56,WH-HFX-003,DRV01557
INC023035,SHP030955,TRK7976367577,FedEx,Toronto,Montreal,Failed Delivery Attempt,Low,Resolved,2026-02-20 10:00:00,8,Rain,Medium,22.45,1537.66,Warehouse Escalation,13,WH-OTT-006,DRV00682
INC001126,SHP038424,TRK1382472766,Purolator,Halifax,Moncton,Warehouse Processing Delay,High,Escalated,2026-02-17 23:00:00,1,Clear,Medium,8.28,1242.54,Refund Issued,19,WH-MTL-002,DRV00860
INC019625,SHP065720,TRK6447661174,UPS,Halifax,Moncton,Damaged Shipment,Medium,Under Investigation,2026-03-10 15:00:00,1,Clear,Low,3.78,1408.82,Carrier Investigation,7,WH-OTT-006,DRV02008
INC010491,SHP084079,TRK3843754197,Purolator,Vancouver,Kelowna,Mechanical Failure,Low,Resolved,2026-03-28 05:00:00,0,Storm,High,43.25,508.1,Driver Reassigned,26,WH-OTT-006,DRV00167
INC010122,SHP045757,TRK9510970521,Canada Post,Halifax,Moncton,Customs Hold,Medium,Resolved,2026-02-22 07:00:00,2,Clear,Low,4.3,1600.3,Delivery Rescheduled,11,WH-TOR-001,DRV01623
INC016462,SHP016750,TRK3902899785,Canada Post,Vancouver,Kelowna,Warehouse Processing Delay,High,Escalated,2026-05-04 23:00:00,48,Clear,Low,28.45,739.51,Delivery Rescheduled,7,WH-OTT-006,DRV01001
INC022565,SHP034693,TRK7299713856,Canada Post,Vancouver,Kelowna,Traffic Disruption,Medium,Under Investigation,2026-06-04 04:00:00,12,Clear,Medium,14.05,2406.81,Shipment Reprocessed,8,WH-HFX-003,DRV00030
INC004046,SHP092856,TRK9069020563,UPS,Calgary,Edmonton,Failed Delivery Attempt,Medium,Open,2026-03-12 21:00:00,1,Clear,Severe,23.28,1612.48,Refund Issued,68,WH-HFX-003,DRV02164
INC008961,SHP050322,TRK5973561918,FedEx,Toronto,Montreal,Traffic Disruption,Medium,Under Investigation,2026-06-27 22:00:00,2,Storm,High,44.3,1331.5,Warehouse Escalation,48,WH-TOR-001,DRV01849
INC023152,SHP007662,TRK3375018120,Purolator,Halifax,Moncton,Mechanical Failure,Low,Resolved,2026-01-19 03:00:00,24,Rain,Low,26.35,1540.84,Shipment Reprocessed,52,WH-VAN-005,DRV00444
INC018808,SHP095781,TRK3434680239,DHL,Vancouver,Kelowna,Weather Delay,Medium,Resolved,2026-03-25 10:00:00,2,Fog,Severe,37.8,1329.72,Refund Issued,60,WH-OTT-006,DRV02206
INC015673,SHP077201,TRK4188052967,Canada Post,Ottawa,Toronto,Weather Delay,High,Resolved,2026-05-09 01:00:00,2,Rain,Medium,19.3,2044.54,Shipment Reprocessed,35,WH-MTL-002,DRV02225
INC020680,SHP015977,TRK6186565899,Canada Post,Toronto,Montreal,Weather Delay,Low,Under Investigation,2026-06-11 16:00:00,8,Rain,Medium,22.45,2304.71,Customer Notified,33,WH-TOR-001,DRV01579
INC007069,SHP037281,TRK5565374756,DHL,Ottawa,Toronto,Damaged Shipment,Low,Resolved,2026-04-19 07:00:00,12,Fog,Low,23.55,390.16,Carrier Investigation,15,WH-HFX-003,DRV01307
INC016221,SHP026732,TRK9590066254,FedEx,Toronto,Montreal,Customs Hold,Low,Resolved,2026-03-19 04:00:00,1,Rain,Low,14.28,2153.17,Customer Notified,56,WH-MTL-002,DRV01276
INC009552,SHP058731,TRK3038788590,Canada Post,Calgary,Edmonton,Customs Hold,Low,Under Investigation,2026-05-12 17:00:00,2,Clear,Medium,8.8,53.28,Carrier Investigation,82,WH-MTL-002,DRV00689
INC023074,SHP048668,TRK8372527157,Canada Post,Vancouver,Kelowna,Lost Package,Low,Resolved,2026-04-12 09:00:00,48,Clear,Medium,32.95,2020.66,Delivery Rescheduled,89,WH-MTL-002,DRV00794
INC012344,SHP036082,TRK2185481510,Canada Post,Calgary,Edmonton,Address Issue,Low,Under Investigation,2026-02-19 04:00:00,48,Snow,High,59.7,2287.0,Carrier Investigation,19,WH-CGY-004,DRV01524
INC001928,SHP075689,TRK2921737683,UPS,Toronto,Montreal,Weather Delay,High,Resolved,2026-06-14 10:00:00,8,Clear,Low,7.45,1371.4,Customer Notified,6,WH-OTT-006,DRV01113
INC010917,SHP094911,TRK2730514696,DHL,Ottawa,Toronto,Warehouse Processing Delay,Low,Resolved,2026-07-01 18:00:00,8,Cloudy,Low,10.95,2420.72,Warehouse Escalation,67,WH-TOR-001,DRV02398
INC005004,SHP010241,TRK8572519152,DHL,Halifax,Moncton,Damaged Shipment,Medium,Resolved,2026-03-25 11:00:00,4,Rain,Medium,20.35,1672.12,Delivery Rescheduled,62,WH-TOR-001,DRV01977
