shipment_id,tracking_number,carrier,origin,destination,distance_km,estimated_duration_hours,shipment_date,estimated_delivery_date,actual_delivery_date,shipment_status,delay_hours,package_weight_kg,package_type,shipping_cost_cad,priority_level,service_level,customer_type,weather_condition,traffic_level,warehouse_id,driver_id,fuel_cost_cad,delivery_cost_cad,delay_reason,on_time_delivery,route_risk_score,risk_category,delivery_performance
SHP095099,TRK3222957072,Purolator,Ottawa,Toronto,404.47,6.65,2026-06-08,2026-06-09,2026-06-09,Delivered,0,11.51,Electronics,77.3,Same-Day,Priority,Enterprise,Storm,Medium,WH-OTT-006,DRV00182,116.08,193.38,None,1,35.75,Medium,On Time
SHP065438,TRK9876698518,DHL,Vancouver,Kelowna,390.79,6.06,2026-05-30,2026-05-31,2026-05-31,Delivered,0,41.38,Small Parcel,88.13,Standard,Priority,Retail,Cloudy,High,WH-TOR-001,DRV01118,94.62,182.75,None,1,18.75,Low,On Time
SHP064075,TRK4320309201,FedEx,Halifax,Moncton,265.46,4.13,2026-02-25,2026-02-26,2026-02-26,Delivered,0,32.59,Documents,84.92,Express,Ground,Retail,Clear,High,WH-MTL-002,DRV01576,61.5,146.42,None,1,15.25,Low,On Time
SHP075040,TRK1633099147,Purolator,Vancouver,Kelowna,390.79,6.06,2026-06-28,2026-06-29,2026-06-29,Delivered,0,5.72,Documents,71.0,Express,Ground,Business,Clear,Low,WH-HFX-003,DRV00020,123.16,194.16,None,1,3.25,Low,On Time
SHP090033,TRK7826772321,UPS,Calgary,Edmonton,300.44,4.62,2026-05-06,2026-05-07,2026-05-07,Delivered,0,27.19,Medium Parcel,66.97,Standard,Two-Day,Enterprise,Rain,High,WH-TOR-001,DRV00145,100.92,167.89,None,1,25.75,Medium,On Time
SHP067963,TRK8349812969,DHL,Calgary,Edmonton,300.44,4.62,2026-04-24,2026-04-25,2026-04-25,Delivered,0,43.31,Medium Parcel,86.4,Express,Overnight,Enterprise,Cloudy,High,WH-OTT-006,DRV01295,79.56,165.96,None,1,18.75,Low,On Time
SHP015689,TRK3351639764,DHL,Calgary,Edmonton,300.44,4.62,2026-03-26,2026-03-27,2026-03-27,Delivered,0,35.32,Large Parcel,89.93,Express,Priority,Retail,Clear,Low,WH-MTL-002,DRV02054,103.52,193.45,None,1,3.25,Low,On Time
SHP076985,TRK1416899555,DHL,Calgary,Edmonton,300.44,4.62,2026-04-18,2026-04-19,2026-04-19,Minor Delay,1,7.21,Small Parcel,49.95,Express,Two-Day,Retail,Clear,Medium,WH-CGY-004,DRV00588,87.31,137.26,Traffic,0,8.28,Low,Slight Delay
SHP087535,TRK1125965195,Canada Post,Toronto,Montreal,543.55,8.66,2026-01-14,2026-01-16,2026-01-16,Delivered,0,24.04,Documents,82.28,Express,Two-Day,Business,Rain,Low,WH-HFX-003,DRV00238,138.68,220.96,None,1,13.75,Low,On Time
SHP070481,TRK9950838456,Purolator,Halifax,Moncton,265.46,4.13,2026-01-13,2026-01-14,2026-01-14,Delivered,0,0.96,Electronics,48.49,Same-Day,Overnight,Enterprise,Clear,Medium,WH-CGY-004,DRV01848,52.02,100.51,None,1,7.75,Low,On Time
SHP099552,TRK3161592217,Purolator,Vancouver,Kelowna,390.79,6.06,2026-02-08,2026-02-09,2026-02-09,Delivered,0,11.72,Fragile,52.33,Express,Two-Day,Enterprise,Cloudy,High,WH-HFX-003,DRV00578,149.83,202.16,None,1,18.75,Low,On Time
SHP031525,TRK1078679778,Canada Post,Ottawa,Toronto,404.47,6.65,2026-01-15,2026-01-16,2026-01-16,Delivered,0,31.1,Documents,77.92,Same-Day,Priority,Retail,Snow,Medium,WH-CGY-004,DRV00315,122.24,200.16,None,1,27.0,Medium,On Time
SHP038054,TRK3256148567,Purolator,Ottawa,Toronto,404.47,6.65,2026-06-29,2026-06-30,2026-06-30,Delivered,0,18.21,Documents,67.52,Express,Overnight,Business,Clear,Medium,WH-TOR-001,DRV01742,139.78,207.3,None,1,7.75,Low,On Time
SHP084814,TRK4912737805,FedEx,Vancouver,Kelowna,390.79,6.06,2026-04-13,2026-04-14,2026-04-14,Delivered,0,26.32,Documents,84.01,Standard,Ground,Enterprise,Fog,Medium,WH-TOR-001,DRV00776,113.87,197.88,None,1,21.75,Low,On Time
SHP075238,TRK8152135187,Purolator,Toronto,Montreal,543.55,8.66,2026-02-14,2026-02-16,2026-02-16,Delivered,0,31.72,Electronics,85.55,Same-Day,Two-Day,Business,Clear,High,WH-CGY-004,DRV01584,112.15,197.7,None,1,15.25,Low,On Time
SHP044971,TRK6475955934,UPS,Vancouver,Kelowna,390.79,6.06,2026-03-14,2026-03-15,2026-03-15,Delivered,0,28.67,Large Parcel,68.86,Same-Day,Priority,Business,Storm,Medium,WH-TOR-001,DRV01460,111.48,180.34,None,1,35.75,Medium,On Time
SHP064472,TRK1876453315,FedEx,Halifax,Moncton,265.46,4.13,2026-02-17,2026-02-18,2026-02-18,Delivered,0,19.04,Medium Parcel,72.28,Express,Priority,Enterprise,Clear,High,WH-MTL-002,DRV00525,51.77,124.05,None,1,15.25,Low,On Time
